,Member,Party Name,Constituency
91,"Chudasama, Shri Rajeshbhai Naranbhai",Bharatiya Janata Party,Junagadh (Gujarat)
92,"Dabhi, Shri Bharatsinhji Shankarji",Bharatiya Janata Party,Patan (Gujarat)
93,"Damor, Shri Guman Singh",Bharatiya Janata Party,Ratlam (ST)(Madhya Pradesh)
94,"Danve, Shri Raosaheb Dadarao",Bharatiya Janata Party,Jalna (Maharashtra)
95,"Darbar, Shri Chhatar Singh",Bharatiya Janata Party,Dhar (ST)(Madhya Pradesh)
96,"Das, Shri Pallab Lochan",Bharatiya Janata Party,Tezpur (Assam)
97,"Dastidar, Dr. (Smt.) Kakoli Ghosh",All India Trinamool Congress,Barasat (West Bengal)
98,"Deb, Shri Nitesh Ganga",Bharatiya Janata Party,Sambalpur (Odisha)
99,"Deol, Shri Sunny",Bharatiya Janata Party,Gurdaspur (Punjab)
100,"Devi, Smt. Rama",Bharatiya Janata Party,Sheohar (Bihar)
101,"Devi, Smt. Veena",Lok Jan Shakti Party,Vaishali (Bihar)
102,"Dhaduk, Shri Rameshbhai Lavjibhai",Bharatiya Janata Party,Porbandar (Gujarat)
103,"Dhanorkar, Shri Balubhau Narayanrao (Alias Suresh)",Indian National Congress,Chandrapur (Maharashtra)
104,"Dharambir Singh, Shri",Bharatiya Janata Party,Bhiwani-Mahendragarh (Haryana)
105,"Dharmapuri, Shri Arvind",Bharatiya Janata Party,Nizamabad (Telangana)
106,"Dhotre, Shri Sanjay Shamrao",Bharatiya Janata Party,Akola (Maharashtra)
107,"Diler, Shri Rajveer",Bharatiya Janata Party,Hathras (SC)(Uttar Pradesh)
108,"Dilip, Shri Saikia",Bharatiya Janata Party,Mangaldoi (Assam)
109,"DNV Senthilkumar S, Dr.",Dravida Munnetra Kazhagam,Dharmapuri (Tamil Nadu)
110,"Dubey, Dr. Nishikant",Bharatiya Janata Party,Godda (Jharkhand)
111,"Dubey, Shri Vijay Kumar",Bharatiya Janata Party,Kushi Nagar (Uttar Pradesh)
112,"Duggal, Smt. Sunita",Bharatiya Janata Party,Sirsa (SC)(Haryana)
113,"Dwivedi, Shri Harish",Bharatiya Janata Party,Basti (Uttar Pradesh)
114,"Eden, Shri Hibi",Indian National Congress,Ernakulam (Kerala)
115,"Firojiya, Shri Anil",Bharatiya Janata Party,Ujjain (SC)(Madhya Pradesh)
116,"Gaddigoudar, Shri Parvatagouda Chandanagouda",Bharatiya Janata Party,Bagalkot (Karnataka)
117,"Gadkari, Shri Nitin Jairam",Bharatiya Janata Party,Nagpur (Maharashtra)
118,"Galla, Shri Jayadev",Telugu Desam Party,Guntur (Andhra Pradesh)
119,"Gambhir, Shri Gautam",Bharatiya Janata Party,East Delhi (NCT of Delhi)
120,"Gandhi, Shri Feroze Varun",Bharatiya Janata Party,Pilibhit (Uttar Pradesh)
121,"Gandhi, Smt. Maneka Sanjay",Bharatiya Janata Party,Sultanpur (Uttar Pradesh)
122,"Gandhi, Shri Rahul",Indian National Congress,Wayanad (Kerala)
123,"Gandhi, Smt. Sonia",Indian National Congress,Rae Bareli (Uttar Pradesh)
124,"Ganeshamurthi, Shri A.",Dravida Munnetra Kazhagam,Erode (Tamil Nadu)
